"Environmental Class","Environmental Subclass","Beneficiary Category","Beneficiary Subcategory","FEGS ID Number","Potentially Relevant NAICS Code","FEGS","Example","Importance","FEGS Measurement including Units","Measurement Type","Status","Source","Notes"
"Terrestrial","Forests","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","21.0207","325, 339, 424","fungi","","organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Fur / Hide Trappers and Hunters","21.0208","114","fauna","mink, fox, coyote, bear","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Government, Municipal, and Residential","Residential Property Owners","21.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of erosion, fire, and pest infestation on the property","initial abstraction (mm of water retained given a 2-year average storm event); number of large trees on the property; wind mitigation from trees and shading number of large trees 80 m2 of canopy on southern side of house)","Stock","Proposed","Marc Russell (USEPA)","takes into account soil type, vegetation, impermeable surfaces, etc."
"Terrestrial","Forests","Government, Municipal, and Residential","Military / Coast Guard","21.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Government, Municipal, and Residential","Military / Coast Guard","21.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Subsistence","Food Subsisters","21.0502","None","flora","garlic mustard, pawpaw, blackberries","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Subsistence","Food Subsisters","21.0502","None","fauna","deer, bear, rabbit, elk, grouse, turkey, boar","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Subsistence","Food Subsisters","21.0502","None","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that are hunted or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","21.0503","None","fauna","deer, bear, rabbit, elk","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","21.0503","None","fiber","grasses, leaves, vines, hemp","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","21.0503","None","timber","firs, pines, oaks","timber (i.e., trees) used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Experiencers and Viewers","21.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Experiencers and Viewers","21.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Experiencers and Viewers","21.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Experiencers and Viewers","21.0601","None","viewscapes","","landscape that provides a sensory experience","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Forests","Recreational","Experiencers and Viewers","21.0601","None","sounds and scents","leaves rustling, birds singing, wind, decay","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Experiencers and Viewers","21.0601","None","fungi","","organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Food Pickers and Gatherers","21.0602","None","flora","garlic mustard, pawpaw, blackberries","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Food Pickers and Gatherers","21.0602","None","fauna","","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Food Pickers and Gatherers","21.0602","None","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Recreational","Hunters","21.0603","None","fauna","deer, bear, rabbit, elk, grouse, turkey, boar","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","21.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Inspirational","Artists","21.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Inspirational","Artists","21.0702","339, 423, 424, 512, 711","natural materials","mosses, lichens, leaves, branches","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Inspirational","Artists","21.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Inspirational","Artists","21.0702","339, 423, 424, 512, 711","sounds and scents","leaves rustling, birds singing, wind, decay","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Learning","Educators and Students","21.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Learning","Researchers","21.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Non-Use","People Who Care (Existence)","21.0901","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Forests","Non-Use","People Who Care (Option / Bequest)","21.0902","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Agroecosystems","Agricultural","Livestock Grazers","22.0103","112","open space","","suitable conditions (i.e., land) to graze livestock","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Agricultural","Livestock Grazers","22.0103","112","soil","","suitable soil in which fields of feed (i.e., on which livestock will directly graze) can be grown (NOT feed itself)","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Agricultural","Farmers","22.0106","111, 113","open space","","suitable conditions (i.e., land) in which to grow annual or perennial crops (NOT crops themselves)","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Agricultural","Farmers","22.0106","111, 113","soil","","suitable soil in which annual or perennial crops (NOT crops themselves) can be grown","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Agricultural","Farmers","22.0106","111, 113","depredators and (pest) predators","","wild depredators and (pest) predators that provide opportunity to grow annual or perennial crops","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","22.0202","113, 339, 424, 453, 454","natural materials","","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Commercial / Industrial","Electric and other Energy Generators","22.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Commercial / Industrial","Resource-Dependent Businesses","22.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of erosion, fire, and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Government, Municipal, and Residential","Residential Property Owners","22.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of erosion, fire, and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Recreational","Experiencers and Viewers","22.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Recreational","Experiencers and Viewers","22.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Recreational","Experiencers and Viewers","22.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Recreational","Experiencers and Viewers","22.0601","None","viewscapes","","landscape that provides a sensory experience","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Agroecosystems","Recreational","Experiencers and Viewers","22.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Recreational","Experiencers and Viewers","22.0601","None","fungi","","organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Recreational","Hunters","22.0603","None","fauna","pheasant, deer, elk, rabbit","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","22.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Inspirational","Artists","22.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Inspirational","Artists","22.0702","339, 423, 424, 512, 711","natural materials","corn sheaths, dried flowers","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Inspirational","Artists","22.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Inspirational","Artists","22.0702","339, 423, 424, 512, 711","sounds and scents","","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Learning","Educators and Students","22.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Learning","Researchers","22.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Agroecosystems","Non-Use","People Who Care (Existence)","22.0901","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Agroecosystems","Non-Use","People Who Care (Option / Bequest)","22.0902","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Created Greenspace","Commercial / Industrial","Electric and other Energy Generators","23.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Commercial / Industrial","Resource-Dependent Businesses","23.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Government, Municipal, and Residential","Residential Property Owners","23.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of pest infestation on the property","distance to nearest park or trailhead (mi) number of large trees on the property wind mitigation from trees and shading (number of large trees 80 m2 of canopy on southern side of house)","Use","Proposed","Marc Russell (USEPA)","NA"
"Terrestrial","Created Greenspace","Government, Municipal, and Residential","Military / Coast Guard","23.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Government, Municipal, and Residential","Military / Coast Guard","23.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Subsistence","Food Subsisters","23.0502","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Subsistence","Food Subsisters","23.0502","None","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that are hunted or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Experiencers and Viewers","23.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Experiencers and Viewers","23.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Experiencers and Viewers","23.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Experiencers and Viewers","23.0601","None","viewscapes","","landscape that provides a sensory experience","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Created Greenspace","Recreational","Experiencers and Viewers","23.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Experiencers and Viewers","23.0601","None","fungi","","organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Food Pickers and Gatherers","23.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Recreational","Food Pickers and Gatherers","23.0602","None","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","23.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Inspirational","Artists","23.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Inspirational","Artists","23.0702","339, 423, 424, 512, 711","natural materials","","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Inspirational","Artists","23.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Inspirational","Artists","23.0702","339, 423, 424, 512, 711","sounds and scents","","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Learning","Educators and Students","23.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Learning","Researchers","23.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Created Greenspace","Non-Use","People Who Care (Existence)","23.0901","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Created Greenspace","Non-Use","People Who Care (Option / Bequest)","23.0902","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Grasslands","Agricultural","Livestock Grazers","24.0103","112","flora","","non-cultivated vegetation for livestock consumption","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Agricultural","Livestock Grazers","24.0103","112","open space","","suitable conditions (i.e., land) to graze livestock","pasture area (acres)","Stock","Proposed","Bill Fisher (USEPA)","NA"
"Terrestrial","Grasslands","Agricultural","Farmers","24.0106","111","open space","","suitable conditions (i.e., land) in which to grow annual or perennial crops (NOT crops themselves)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Agricultural","Farmers","24.0106","111","soil","","suitable soil in which annual or perennial crops (NOT crops themselves) can be grown","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Agricultural","Farmers","24.0106","111","depredators and (pest) predators","","wild depredators and (pest) predators that provide opportunity to grow crops","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Food Extractors","24.0201","113, 114, 311, 312, 454","flora","berries, tubers","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Food Extractors","24.0201","113, 114, 311, 312, 454","fauna","eggs, duck, buffalo, grasshoppers","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Food Extractors","24.0201","113, 114, 311, 312, 454","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","24.0202","113, 339, 424, 453, 454","fiber","grasses","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","24.0202","113, 339, 424, 453, 454","natural materials","flowers, seeds","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Electric and other Energy Generators","24.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Resource-Dependent Businesses","24.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of fire and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","24.0207","325, 339, 424","flora","sagewort, Ipomoea leptophylla","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","24.0207","325, 339, 424","fauna","deer antler velvet","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","24.0207","325, 339, 424","fungi","","organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Commercial / Industrial","Fur / Hide Trappers and Hunters","24.0208","114","fauna","fox, buffalo, wolf, coyotes","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Government, Municipal, and Residential","Residential Property Owners","24.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of fire and pest infestation on the property","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Grasslands","Government, Municipal, and Residential","Military / Coast Guard","24.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Government, Municipal, and Residential","Military / Coast Guard","24.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Subsistence","Food Subsisters","24.0502","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Subsistence","Food Subsisters","24.0502","None","fauna","rabbit, deer, buffalo, elk, bison, buffalo","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Subsistence","Food Subsisters","24.0502","None","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that are hunted or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","24.0503","None","fauna","rabbit, deer, buffalo, elk, bison, buffalo","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","24.0503","None","fiber","","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","24.0503","None","timber","","timber (i.e., trees) used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Experiencers and Viewers","24.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Experiencers and Viewers","24.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Experiencers and Viewers","24.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Experiencers and Viewers","24.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Experiencers and Viewers","24.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Experiencers and Viewers","24.0601","None","fungi","","organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Food Pickers and Gatherers","24.0602","None","flora","","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Food Pickers and Gatherers","24.0602","None","fauna","","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Food Pickers and Gatherers","24.0602","None","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Recreational","Hunters","24.0603","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","24.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Inspirational","Artists","24.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Inspirational","Artists","24.0702","339, 423, 424, 512, 711","natural materials","","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Inspirational","Artists","24.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Inspirational","Artists","24.0702","339, 423, 424, 512, 711","sounds and scents","","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Learning","Educators and Students","24.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Learning","Researchers","24.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Terrestrial","Grasslands","Non-Use","People Who Care (Existence)","24.0901","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Grasslands","Non-Use","People Who Care (Option / Bequest)","24.0902","813, 924","presence of the environment","","knowing that the environment exists","charasmatic species (presence or absence)","Stock","Proposed","Susan Yee (USEPA)","NA"
"Terrestrial","Scrubland / Shrubland","Agricultural","CAFO Operators","25.0102","112","open space","","suitable conditions (i.e., land) to hold livestock and site the CAFO operation","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Agricultural","Livestock Grazers","25.0103","112","flora","grasses","non-cultivated vegetation for livestock consumption","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Agricultural","Livestock Grazers","25.0103","112","open space","","suitable conditions (i.e., land) to graze livestock","pasture area (acres)","Stock","Proposed","Bill Fisher (USEPA)","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Food Extractors","25.0201","114, 311, 312, 454","flora","juniper berries","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","25.0202","339, 424, 453, 454","fiber","grasses","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","25.0202","339, 424, 453, 454","natural materials","","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","25.0202","339, 424, 453, 454","timber","juniper trees","non-cultivated timber (i.e., trees) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Scrubland / Shrubland","Commercial / Industrial","Electric and other Energy Generators","25.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
